,,,,,,,,,,,,,,,,,,,,,,,,,
,Rk,School,G,W,L,W-L%,SRS,SOS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
,231,Pennsylvania,31,19,12,0.613,2.04,-0.76,1265,821,1810,0.454,282,803,0.351,326,511,0.638,270,1101,465,210,76,395,500
,232,Pepperdine,34,16,18,0.471,0.90,0.63,1370,865,1949,0.444,313,819,0.382,529,696,0.760,290,1085,479,229,95,432,639
,233,Pittsburgh,33,14,19,0.424,7.88,6.69,1330,769,1841,0.418,225,680,0.331,543,779,0.697,383,1211,387,227,126,448,611
,234,Portland,32,7,25,0.219,-10.80,0.51,1290,707,1708,0.414,216,664,0.325,448,668,0.671,233,1032,369,175,123,425,588
,235,Portland State,32,16,16,0.500,-8.95,-5.78,1290,856,2017,0.424,238,769,0.309,525,748,0.702,491,1282,434,264,130,449,681
,236,Prairie View NCAA,35,22,13,0.629,-7.29,-9.17,1400,903,2061,0.438,225,703,0.320,596,875,0.681,392,1151,445,309,55,445,758
,237,Presbyterian,36,20,16,0.556,-3.56,-5.35,1445,966,2150,0.449,394,1034,0.381,491,674,0.728,324,1248,565,214,69,358,617
,238,Princeton,28,16,12,0.571,-3.43,-0.89,1135,685,1666,0.411,207,679,0.305,371,502,0.739,272,1016,295,168,72,354,459
,239,Providence,34,18,16,0.529,8.29,6.71,1385,835,1973,0.423,225,690,0.326,533,771,0.691,399,1241,491,253,136,445,600
,240,Purdue NCAA,36,26,10,0.722,21.40,11.99,1460,967,2145,0.451,365,977,0.374,461,641,0.719,421,1341,518,220,143,381,625
,241,Purdue-Fort Wayne,33,18,15,0.545,-3.47,-3.60,1330,991,2059,0.481,360,949,0.379,386,557,0.693,271,1140,525,247,158,395,495
,242,Quinnipiac,31,16,15,0.516,-6.78,-8.03,1270,739,1730,0.427,348,923,0.377,468,646,0.724,311,1111,393,159,62,415,524
,243,Radford,33,22,11,0.667,1.28,-1.95,1330,893,1938,0.461,285,751,0.379,369,515,0.717,335,1170,467,196,101,358,528
,244,Rhode Island,33,18,15,0.545,2.83,1.19,1335,821,1914,0.429,172,615,0.280,479,704,0.680,375,1194,401,235,129,405,582
,245,Rice,32,13,19,0.406,-6.56,-2.06,1305,795,1867,0.426,277,797,0.348,500,729,0.686,316,1221,425,171,104,438,568
,246,Richmond,33,13,20,0.394,-1.37,-0.79,1320,849,1800,0.472,251,723,0.347,365,552,0.661,196,957,519,249,101,336,488
,247,Rider,31,16,15,0.516,-4.96,-6.51,1245,847,1893,0.447,222,651,0.341,465,755,0.616,363,1144,450,282,101,415,591
,248,Robert Morris,35,18,17,0.514,-9.41,-7.62,1420,861,1991,0.432,280,789,0.355,446,638,0.699,373,1178,487,257,92,507,683
,249,Rutgers,31,14,17,0.452,8.89,9.76,1250,771,1842,0.419,191,612,0.312,372,584,0.637,391,1210,390,201,124,408,566
,250,Sacramento State,31,15,16,0.484,-8.78,-6.78,1250,806,1800,0.448,175,527,0.332,410,592,0.693,308,1050,431,239,104,404,566
,251,Sacred Heart,32,15,17,0.469,-7.88,-8.11,1285,885,1926,0.460,243,681,0.357,545,722,0.755,354,1231,471,170,133,465,572
,252,Saint Francis (PA),33,18,15,0.545,-8.74,-6.16,1320,885,2035,0.435,254,724,0.351,493,698,0.706,430,1246,413,221,94,402,598
,253,Saint Joseph's,33,14,19,0.424,-0.43,1.66,1325,793,1943,0.408,280,869,0.322,462,615,0.751,258,1145,397,186,110,305,497
,254,Saint Louis NCAA,36,23,13,0.639,5.06,2.23,1440,855,2052,0.417,205,675,0.304,484,809,0.598,492,1428,460,254,145,464,634
,255,Saint Mary's (CA) NCAA,34,22,12,0.647,12.58,4.40,1365,899,1905,0.472,253,670,0.378,412,555,0.742,329,1180,341,201,87,355,572
